,시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소
150,강원,율전초 문암분교장,1997,홍천,초,대부,강원도 홍천군 내면 율전리 696-1
151,강원,율전초 방내분교장,2012,홍천,초,대부,강원도 홍천군 내면 방내리 797-5
152,강원,인구초 임호분교장,2021,속초양양,초,미활용,강원도 양양군 현남면 임호정리 256
153,강원,인제초 군량분교장,1993,인제,초,미활용,강원도 인제군 인제읍 귀둔리 984-1
154,강원,임계초 고양분교장,1995,정선,초,대부,강원도 정선군 임계면 고양리 124
155,강원,임계초 문래분교장,2009,정선,초,대부,강원도 정선군 임계면 문래리 423-1
156,강원,임계초 성남분교장,1990,정선,초,대부,강원도 정선군 임계면 임계리 1300
157,강원,임계초 소란분교장,2003,정선,초,대부,강원도 정선군 임계면 송계리 882-8
158,강원,잠곡초등학교,2006,철원,초,대부,강원도 철원군 근남면 잠곡리 451-1
159,강원,장열초등학교,1991,정선,초,대부,강원도 정선군 북평면 장열리 247-2
160,강원,장평초 용전분교장,2002,평창,초,대부,강원도 평창군 용평면 용전리 71-2
161,강원,장호중학교,2022,삼척,중,미활용,강원도 삼척시 근덕면 장호리 201
162,강원,정선중 벽탄분교장,1999,정선,중,자체활용,강원도 정선군 정선읍 용탄리 697-1
163,강원,정선초 귤암분교장,1995,정선,초,대부,강원도 정선군 정선읍 귤암리 171
164,강원,정선초 덕송분교장,1991,정선,초,대부,강원도 정선군 정선읍 덕송리 166
165,강원,정선초 생탄분교장,1998,정선,초,대부,강원도 정선군 정선읍 봉양리 848-1
166,강원,정선초 신월분교장,1994,정선,초,자체활용,강원도 정선군 정선읍 신월리 754-1
167,강원,정연초등학교,2002,철원,초,자체활용,강원도 철원군 갈말읍 정연리 1161
168,강원,제비초등학교,1999,강릉,초,대부,강원도 강릉시 구정면 제비리 504
169,강원,조산초 적은분교장,1999,속초양양,초,대부,강원도 양양군 강현면 적은리 84
170,강원,주봉초 와동분교장,2015,홍천,초,대부,강원도 홍천군 홍천읍 와동리 275
171,강원,주천초 결운분교장,1995,영월,초,대부,강원도 영월군   주천면  금마리 550-3
172,강원,죽리초 웅진분교장,1994,양구,초,대부,강원도 양구군 양구읍 웅진리 407-2
173,강원,죽왕초 구성분교장,2005,고성,초,대부,강원도 고성군 죽왕면 구성리 118-5
174,강원,죽정초,2008,고성,초,미활용,강원도 고성군 현내면 죽정리 365
175,강원,지정초 송암분교장,2003,원주,초,미활용,강원도 원주시 지정면 월송리 451
176,강원,지정초 안창분교장,1993,원주,초,대부,강원도 원주시 지정면 안창리 81
